mat|1|1|	Βιβλος γενεσεως Ιησου Χριστου, υιου Δαυιδ υιου Αβρααμ.
mat|1|2|	Αβρααμ εγεννησε τον Ισαακ, Ισαακ δε εγεννησε τον Ιακωβ, Ιακωβ δε εγεννησε τον Ιουδαν και τους αδελφους αυτου,
mat|1|3|	Ιουδας δε εγεννησε τον Φαρες και τον Ζαρα εκ της Θαμαρ, Φαρες δε εγεννησε τον Εσρωμ, Εσρωμ δε εγεννησε τον Αραμ,
mat|1|4|	Αραμ δε εγεννησε τον Αμιναδαβ, Αμιναδαβ δε εγεννησε τον Ναασσων, Ναασσων δε εγεννησε τον Σαλμων,
mat|1|5|	Σαλμων δε εγεννησε τον Βοοζ εκ της Ραχαβ, Βοοζ δε εγεννησε τον Ωβηδ εκ της Ρουθ, Ωβηδ δε εγεννησε τον Ιεσσαι,
mat|1|6|	Ιεσσαι δε εγεννησε τον Δαυιδ τον βασιλεα. Δαυιδ δε ο βασιλευς εγεννησε τον Σολομωνα εκ της του Ουριου,
mat|1|7|	Σολομων δε εγεννησε τον Ροβοαμ, Ροβοαμ δε εγεννησε τον Αβια, Αβια δε εγεννησε τον Ασα,
mat|1|8|	Ασα δε εγεννησε τον Ιωσαφατ, Ιωσαφατ δε εγεννησε τον Ιωραμ, Ιωραμ δε εγεννησε τον Οζιαν,
mat|1|9|	Οζιας δε εγεννησε τον Ιωαθαμ, Ιωαθαμ δε εγεννησε τον Αχαζ, Αχαζ δε εγεννησε τον Εζεκιαν,
mat|1|10|	Εζεκιας δε εγεννησε τον Μανασση, Μανασσης δε εγεννησε τον Αμων, Αμων δε εγεννησε τον Ιωσιαν,
mat|1|11|	Ιωσιας δε εγεννησε τον Ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας Βαβυλωνος.
mat|1|12|	Μετα δε την μετοικεσιαν Βαβυλωνος Ιεχονιας εγεννησε τον Σαλαθιηλ, Σαλαθιηλ δε εγεννησε τον Ζοροβαβελ,
mat|1|13|	Ζοροβαβελ δε εγεννησε τον Αβιουδ, Αβιουδ δε εγεννησε τον Ελιακειμ, Ελιακειμ δε εγεννησε τον Αζωρ,
mat|1|14|	Αζωρ δε εγεννησε τον Σαδωκ, Σαδωκ δε εγεννησε τον Αχειμ, Αχειμ δε εγεννησε τον Ελιουδ,
mat|1|15|	Ελιουδ δε εγεννησε τον Ελεαζαρ, Ελεαζαρ δε εγεννησε τον Ματθαν, Ματθαν δε εγεννησε τον Ιακωβ,
mat|1|16|	Ιακωβ δε εγεννησε τον Ιωσηφ τον ανδρα Μαριας, εξ ης εγεννηθη Ιησους ο λεγομενος Χριστος.
mat|1|17|	Πασαι ουν αι γενεαι απο Αβρααμ εως Δαυιδ γενεαι δεκατεσσαρες, και απο Δαυιδ εως της μετοικεσιας Βαβυλωνος γενεαι δεκατεσσαρες, και απο της μετοικεσιας Βαβυλωνος εως του Χριστου γενεαι δεκατεσσαρες.
mat|1|18|	Του δε Ιησου Χριστου η γεννησις ουτως ην. μνηστευθεισης γαρ της μητρος αυτου Μαριας τω Ιωσηφ, πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ Πνευματος Αγιου.
mat|1|19|	Ιωσηφ δε ο ανηρ αυτης, δικαιος ων και μη θελων αυτην παραδειγματισαι, εβουληθη λαθρα απολυσαι αυτην.
mat|1|20|	ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος Κυριου κατ οναρ εφανη αυτω λεγων Ιωσηφ υιος Δαυιδ, μη φοβηθης παραλαβειν Μαριαμ την γυναικα σου το γαρ εν αυτη γεννηθεν εκ Πνευματος εστιν Αγιου.
mat|1|21|	τεξεται δε υιον και καλεσεις το ονομα αυτου Ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων.
mat|1|22|	Τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο του Κυριου δια του προφητου λεγοντος
mat|1|23|	ιδου η παρθενος εν γαστρι εξει και τεξεται υιον, και καλεσουσι το ονομα αυτου Εμμανουηλ, ο εστι μεθερμηνευομενον μεθ ημων ο Θεος.
mat|1|24|	Διεγερθεις δε ο Ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος Κυριου και παρελαβε την γυναικα αυτου,
mat|1|25|	και ουκ εγινωσκεν αυτην εως ου ετεκε τον υιον αυτης τον πρωτοτοκον, και εκαλεσε το ονομα αυτου Ιησουν.
mat|2|1|	Του δε Ιησου γεννηθεντος εν Βηθλεεμ της Ιουδαιας εν ημεραις Ηρωδου του βασιλεως, ιδου μαγοι απο ανατολων παρεγενοντο εις Ιεροσολυμα
mat|2|2|	λεγοντες που εστιν ο τεχθεις βασιλευς των Ιουδαιων? ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω.
mat|2|3|	Ακουσας δε Ηρωδης ο βασιλευς εταραχθη και πασα Ιεροσολυμα μετ αυτου,
mat|2|4|	και συναγαγων παντας τους αρχιερεις και γραμματεις του λαου επυνθανετο παρ αυτων που ο Χριστος γενναται.
mat|2|5|	οι δε ειπον αυτω εν Βηθλεεμ της Ιουδαιας ουτω γαρ γεγραπται δια του προφητου
