mat|1|1|	Βιβλος γενεσεως Ιησου Χριστου, υιου Δαυιδ υιου Αβρααμ.	biblos geneseōs iēsou christou, uiou dauid uiou abraam.
mat|1|2|	Αβρααμ εγεννησε τον Ισαακ, Ισαακ δε εγεννησε τον Ιακωβ, Ιακωβ δε εγεννησε τον Ιουδαν και τους αδελφους αυτου,	abraam egennēse ton isaak, isaak de egennēse ton iakōb, iakōb de egennēse ton ioudan kai tous adelphous autou,
mat|1|3|	Ιουδας δε εγεννησε τον Φαρες και τον Ζαρα εκ της Θαμαρ, Φαρες δε εγεννησε τον Εσρωμ, Εσρωμ δε εγεννησε τον Αραμ,	ioudas de egennēse ton phares kai ton zara ek tēs thamar, phares de egennēse ton esrōm, esrōm de egennēse ton aram,
mat|1|4|	Αραμ δε εγεννησε τον Αμιναδαβ, Αμιναδαβ δε εγεννησε τον Ναασσων, Ναασσων δε εγεννησε τον Σαλμων,	aram de egennēse ton aminadab, aminadab de egennēse ton naassōn, naassōn de egennēse ton salmōn,
mat|1|5|	Σαλμων δε εγεννησε τον Βοοζ εκ της Ραχαβ, Βοοζ δε εγεννησε τον Ωβηδ εκ της Ρουθ, Ωβηδ δε εγεννησε τον Ιεσσαι,	salmōn de egennēse ton booz ek tēs rachab, booz de egennēse ton ōbēd ek tēs routh, ōbēd de egennēse ton iessai,
mat|1|6|	Ιεσσαι δε εγεννησε τον Δαυιδ τον βασιλεα. Δαυιδ δε ο βασιλευς εγεννησε τον Σολομωνα εκ της του Ουριου,	iessai de egennēse ton dauid ton basilea. dauid de o basileus egennēse ton solomōna ek tēs tou ouriou,
mat|1|7|	Σολομων δε εγεννησε τον Ροβοαμ, Ροβοαμ δε εγεννησε τον Αβια, Αβια δε εγεννησε τον Ασα,	solomōn de egennēse ton roboam, roboam de egennēse ton abia, abia de egennēse ton asa,
mat|1|8|	Ασα δε εγεννησε τον Ιωσαφατ, Ιωσαφατ δε εγεννησε τον Ιωραμ, Ιωραμ δε εγεννησε τον Οζιαν,	asa de egennēse ton iōsaphat, iōsaphat de egennēse ton iōram, iōram de egennēse ton ozian,
mat|1|9|	Οζιας δε εγεννησε τον Ιωαθαμ, Ιωαθαμ δε εγεννησε τον Αχαζ, Αχαζ δε εγεννησε τον Εζεκιαν,	ozias de egennēse ton iōatham, iōatham de egennēse ton achaz, achaz de egennēse ton ezekian,
mat|1|10|	Εζεκιας δε εγεννησε τον Μανασση, Μανασσης δε εγεννησε τον Αμων, Αμων δε εγεννησε τον Ιωσιαν,	ezekias de egennēse ton manassē, manassēs de egennēse ton amōn, amōn de egennēse ton iōsian,
mat|1|11|	Ιωσιας δε εγεννησε τον Ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας Βαβυλωνος.	iōsias de egennēse ton iechonian kai tous adelphous autou epi tēs metoikesias babulōnos.
mat|1|12|	Μετα δε την μετοικεσιαν Βαβυλωνος Ιεχονιας εγεννησε τον Σαλαθιηλ, Σαλαθιηλ δε εγεννησε τον Ζοροβαβελ,	meta de tēn metoikesian babulōnos iechonias egennēse ton salathiēl, salathiēl de egennēse ton zorobabel,
mat|1|13|	Ζοροβαβελ δε εγεννησε τον Αβιουδ, Αβιουδ δε εγεννησε τον Ελιακειμ, Ελιακειμ δε εγεννησε τον Αζωρ,	zorobabel de egennēse ton abioud, abioud de egennēse ton eliakeim, eliakeim de egennēse ton azōr,
mat|1|14|	Αζωρ δε εγεννησε τον Σαδωκ, Σαδωκ δε εγεννησε τον Αχειμ, Αχειμ δε εγεννησε τον Ελιουδ,	azōr de egennēse ton sadōk, sadōk de egennēse ton acheim, acheim de egennēse ton elioud,
mat|1|15|	Ελιουδ δε εγεννησε τον Ελεαζαρ, Ελεαζαρ δε εγεννησε τον Ματθαν, Ματθαν δε εγεννησε τον Ιακωβ,	elioud de egennēse ton eleazar, eleazar de egennēse ton matthan, matthan de egennēse ton iakōb,
mat|1|16|	Ιακωβ δε εγεννησε τον Ιωσηφ τον ανδρα Μαριας, εξ ης εγεννηθη Ιησους ο λεγομενος Χριστος.	iakōb de egennēse ton iōsēph ton andra marias, ex ēs egennēthē iēsous o legomenos christos.
mat|1|17|	Πασαι ουν αι γενεαι απο Αβρααμ εως Δαυιδ γενεαι δεκατεσσαρες, και απο Δαυιδ εως της μετοικεσιας Βαβυλωνος γενεαι δεκατεσσαρες, και απο της μετοικεσιας Βαβυλωνος εως του Χριστου γενεαι δεκατεσσαρες.	pasai oun ai geneai apo abraam eōs dauid geneai dekatessares, kai apo dauid eōs tēs metoikesias babulōnos geneai dekatessares, kai apo tēs metoikesias babulōnos eōs tou christou geneai dekatessares.
mat|1|18|	Του δε Ιησου Χριστου η γεννησις ουτως ην. μνηστευθεισης γαρ της μητρος αυτου Μαριας τω Ιωσηφ, πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ Πνευματος Αγιου.	tou de iēsou christou ē gennēsis outōs ēn. mnēsteutheisēs gar tēs mētros autou marias tō iōsēph, prin ē sunelthein autous eurethē en gastri echousa ek pneumatos agiou.
mat|1|19|	Ιωσηφ δε ο ανηρ αυτης, δικαιος ων και μη θελων αυτην παραδειγματισαι, εβουληθη λαθρα απολυσαι αυτην.	iōsēph de o anēr autēs, dikaios ōn kai mē thelōn autēn paradeigmatisai, eboulēthē lathra apolusai autēn.
mat|1|20|	ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος Κυριου κατ οναρ εφανη αυτω λεγων Ιωσηφ υιος Δαυιδ, μη φοβηθης παραλαβειν Μαριαμ την γυναικα σου το γαρ εν αυτη γεννηθεν εκ Πνευματος εστιν Αγιου.	tauta de autou enthumēthentos idou aggelos kuriou kat onar ephanē autō legōn iōsēph uios dauid, mē phobēthēs paralabein mariam tēn gunaika sou to gar en autē gennēthen ek pneumatos estin agiou.
mat|1|21|	τεξεται δε υιον και καλεσεις το ονομα αυτου Ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων.	texetai de uion kai kaleseis to onoma autou iēsoun autos gar sōsei ton laon autou apo tōn amartiōn autōn.
mat|1|22|	Τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο του Κυριου δια του προφητου λεγοντος	touto de olon gegonen ina plērōthē to rēthen upo tou kuriou dia tou prophētou legontos
mat|1|23|	ιδου η παρθενος εν γαστρι εξει και τεξεται υιον, και καλεσουσι το ονομα αυτου Εμμανουηλ, ο εστι μεθερμηνευομενον μεθ ημων ο Θεος.	idou ē parthenos en gastri exei kai texetai uion, kai kalesousi to onoma autou emmanouēl, o esti methermēneuomenon meth ēmōn o theos.
mat|1|24|	Διεγερθεις δε ο Ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος Κυριου και παρελαβε την γυναικα αυτου,	diegertheis de o iōsēph apo tou upnou epoiēsen ōs prosetaxen autō o aggelos kuriou kai parelabe tēn gunaika autou,
mat|1|25|	και ουκ εγινωσκεν αυτην εως ου ετεκε τον υιον αυτης τον πρωτοτοκον, και εκαλεσε το ονομα αυτου Ιησουν.	kai ouk eginōsken autēn eōs ou eteke ton uion autēs ton prōtotokon, kai ekalese to onoma autou iēsoun.
mat|2|1|	Του δε Ιησου γεννηθεντος εν Βηθλεεμ της Ιουδαιας εν ημεραις Ηρωδου του βασιλεως, ιδου μαγοι απο ανατολων παρεγενοντο εις Ιεροσολυμα	tou de iēsou gennēthentos en bēthleem tēs ioudaias en ēmerais ērōdou tou basileōs, idou magoi apo anatolōn paregenonto eis ierosoluma
mat|2|2|	λεγοντες που εστιν ο τεχθεις βασιλευς των Ιουδαιων? ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω.	legontes pou estin o techtheis basileus tōn ioudaiōn? eidomen gar autou ton astera en tē anatolē kai ēlthomen proskunēsai autō.
mat|2|3|	Ακουσας δε Ηρωδης ο βασιλευς εταραχθη και πασα Ιεροσολυμα μετ αυτου,	akousas de ērōdēs o basileus etarachthē kai pasa ierosoluma met autou,
mat|2|4|	και συναγαγων παντας τους αρχιερεις και γραμματεις του λαου επυνθανετο παρ αυτων που ο Χριστος γενναται.	kai sunagagōn pantas tous archiereis kai grammateis tou laou epunthaneto par autōn pou o christos gennatai.
mat|2|5|	οι δε ειπον αυτω εν Βηθλεεμ της Ιουδαιας ουτω γαρ γεγραπται δια του προφητου	oi de eipon autō en bēthleem tēs ioudaias outō gar gegraptai dia tou prophētou
mat|2|6|	και συ Βηθλεεμ, γη Ιουδα, ουδαμως ελαχιστη ει εν τοις ηγεμοσιν Ιουδα εκ σου γαρ εξελευσεται ηγουμενος, οστις ποιμανει τον λαον μου τον Ισραηλ.	kai su bēthleem, gē iouda, oudamōs elachistē ei en tois ēgemosin iouda ek sou gar exeleusetai ēgoumenos, ostis poimanei ton laon mou ton israēl.
mat|2|7|	Τοτε Ηρωδης λαθρα καλεσας τους μαγους ηκριβωσε παρ αυτων τον χρονον του φαινομενου αστερος,	tote ērōdēs lathra kalesas tous magous ēkribōse par autōn ton chronon tou phainomenou asteros,
mat|2|8|	και πεμψας αυτους εις Βηθλεεμ ειπε πορευθεντες ακριβως εξετασατε περι του παιδιου, επαν δε ευρητε, απαγγειλατε μοι, οπως καγω ελθων προσκυνησω αυτω.	kai pempsas autous eis bēthleem eipe poreuthentes akribōs exetasate peri tou paidiou, epan de eurēte, apaggeilate moi, opōs kagō elthōn proskunēsō autō.
mat|2|9|	οι δε ακουσαντες του βασιλεως επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτους, εως ελθων εστη επανω ου ην το παιδιον	oi de akousantes tou basileōs eporeuthēsan kai idou o astēr on eidon en tē anatolē proēgen autous, eōs elthōn estē epanō ou ēn to paidion
mat|2|10|	ιδοντες δε τον αστερα εχαρησαν χαραν μεγαλην σφοδρα,	idontes de ton astera echarēsan charan megalēn sphodra,
mat|2|11|	και ελθοντες εις την οικιαν ειδον το παιδιον μετα Μαριας της μητρος αυτου, και πεσοντες προσεκυνησαν αυτω, και ανοιξαντες τους θησαυρους αυτων προσηνεγκαν αυτω δωρα, χρυσον και λιβανον και σμυρναν	kai elthontes eis tēn oikian eidon to paidion meta marias tēs mētros autou, kai pesontes prosekunēsan autō, kai anoixantes tous thēsaurous autōn prosēnegkan autō dōra, chruson kai libanon kai smurnan
mat|2|12|	και χρηματισθεντες κατ οναρ μη ανακαμψαι προς Ηρωδην, δι αλλης οδου ανεχωρησαν εις την χωραν αυτων.	kai chrēmatisthentes kat onar mē anakampsai pros ērōdēn, di allēs odou anechōrēsan eis tēn chōran autōn.
mat|2|13|	Αναχωρησαντων δε αυτων ιδου αγγελος Κυριου φαινεται κατ οναρ τω Ιωσηφ λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και φευγε εις Αιγυπτον, και ισθι εκει εως αν ειπω σοι μελλει γαρ Ηρωδης ζητειν το παιδιον του απολεσαι αυτο.	anachōrēsantōn de autōn idou aggelos kuriou phainetai kat onar tō iōsēph legōn egertheis paralabe to paidion kai tēn mētera autou kai pheuge eis aigupton, kai isthi ekei eōs an eipō soi mellei gar ērōdēs zētein to paidion tou apolesai auto.
mat|2|14|	Ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου νυκτος και ανεχωρησεν εις Αιγυπτον,	o de egertheis parelabe to paidion kai tēn mētera autou nuktos kai anechōrēsen eis aigupton,
mat|2|15|	και ην εκει εως της τελευτης Ηρωδου, ινα πληρωθη το ρηθεν υπο του Κυριου δια του προφητου λεγοντος εξ Αιγυπτου εκαλεσα τον υιον μου.	kai ēn ekei eōs tēs teleutēs ērōdou, ina plērōthē to rēthen upo tou kuriou dia tou prophētou legontos ex aiguptou ekalesa ton uion mou.
mat|2|16|	Τοτε Ηρωδης ιδων οτι ενεπαιχθη υπο των μαγων, εθυμωθη λιαν, και αποστειλας ανειλε παντας τους παιδας τους εν Βηθλεεμ και εν πασι τοις οριοις αυτης απο διετους και κατωτερω, κατα τον χρονον ον ηκριβωσε παρα των μαγων.	tote ērōdēs idōn oti enepaichthē upo tōn magōn, ethumōthē lian, kai aposteilas aneile pantas tous paidas tous en bēthleem kai en pasi tois oriois autēs apo dietous kai katōterō, kata ton chronon on ēkribōse para tōn magōn.
mat|2|17|	τοτε επληρωθη το ρηθεν υπο Ιερεμιου του προφητου λεγοντος	tote eplērōthē to rēthen upo ieremiou tou prophētou legontos
mat|2|18|	φωνη εν Ραμα ηκουσθη, θρηνος και κλαυθμος και οδυρμος πολυς Ραχηλ κλαιουσα τα τεκνα αυτης, και ουκ ηθελε παρακληθηναι, οτι ουκ εισιν.	phōnē en rama ēkousthē, thrēnos kai klauthmos kai odurmos polus rachēl klaiousa ta tekna autēs, kai ouk ēthele paraklēthēnai, oti ouk eisin.
mat|2|19|	Τελευτησαντος δε του Ηρωδου ιδου αγγελος Κυριου κατ οναρ φαινεται τω Ιωσηφ εν Αιγυπτω	teleutēsantos de tou ērōdou idou aggelos kuriou kat onar phainetai tō iōsēph en aiguptō
mat|2|20|	λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και πορευου εις γην Ισραηλ τεθνηκασι γαρ οι ζητουντες την ψυχην του παιδιου.	legōn egertheis paralabe to paidion kai tēn mētera autou kai poreuou eis gēn israēl tethnēkasi gar oi zētountes tēn psuchēn tou paidiou.
mat|2|21|	ο δε εγερθεις παρελαβε το παιδιον και την μητερα αυτου και ηλθεν εις γην Ισραηλ.	o de egertheis parelabe to paidion kai tēn mētera autou kai ēlthen eis gēn israēl.
