mat|1|1|	biblos geneseōs iēsou christou, uiou dauid uiou abraam.
mat|1|2|	abraam egennēse ton isaak, isaak de egennēse ton iakōb, iakōb de egennēse ton ioudan kai tous adelphous autou,
mat|1|3|	ioudas de egennēse ton phares kai ton zara ek tēs thamar, phares de egennēse ton esrōm, esrōm de egennēse ton aram,
mat|1|4|	aram de egennēse ton aminadab, aminadab de egennēse ton naassōn, naassōn de egennēse ton salmōn,
mat|1|5|	salmōn de egennēse ton booz ek tēs rachab, booz de egennēse ton ōbēd ek tēs routh, ōbēd de egennēse ton iessai,
mat|1|6|	iessai de egennēse ton dauid ton basilea. dauid de o basileus egennēse ton solomōna ek tēs tou ouriou,
mat|1|7|	solomōn de egennēse ton roboam, roboam de egennēse ton abia, abia de egennēse ton asa,
mat|1|8|	asa de egennēse ton iōsaphat, iōsaphat de egennēse ton iōram, iōram de egennēse ton ozian,
mat|1|9|	ozias de egennēse ton iōatham, iōatham de egennēse ton achaz, achaz de egennēse ton ezekian,
mat|1|10|	ezekias de egennēse ton manassē, manassēs de egennēse ton amōn, amōn de egennēse ton iōsian,
mat|1|11|	iōsias de egennēse ton iechonian kai tous adelphous autou epi tēs metoikesias babulōnos.
mat|1|12|	meta de tēn metoikesian babulōnos iechonias egennēse ton salathiēl, salathiēl de egennēse ton zorobabel,
mat|1|13|	zorobabel de egennēse ton abioud, abioud de egennēse ton eliakeim, eliakeim de egennēse ton azōr,
mat|1|14|	azōr de egennēse ton sadōk, sadōk de egennēse ton acheim, acheim de egennēse ton elioud,
mat|1|15|	elioud de egennēse ton eleazar, eleazar de egennēse ton matthan, matthan de egennēse ton iakōb,
mat|1|16|	iakōb de egennēse ton iōsēph ton andra marias, ex ēs egennēthē iēsous o legomenos christos.
mat|1|17|	pasai oun ai geneai apo abraam eōs dauid geneai dekatessares, kai apo dauid eōs tēs metoikesias babulōnos geneai dekatessares, kai apo tēs metoikesias babulōnos eōs tou christou geneai dekatessares.
mat|1|18|	tou de iēsou christou ē gennēsis outōs ēn. mnēsteutheisēs gar tēs mētros autou marias tō iōsēph, prin ē sunelthein autous eurethē en gastri echousa ek pneumatos agiou.
mat|1|19|	iōsēph de o anēr autēs, dikaios ōn kai mē thelōn autēn paradeigmatisai, eboulēthē lathra apolusai autēn.
mat|1|20|	tauta de autou enthumēthentos idou aggelos kuriou kat onar ephanē autō legōn iōsēph uios dauid, mē phobēthēs paralabein mariam tēn gunaika sou to gar en autē gennēthen ek pneumatos estin agiou.
mat|1|21|	texetai de uion kai kaleseis to onoma autou iēsoun autos gar sōsei ton laon autou apo tōn amartiōn autōn.
mat|1|22|	touto de olon gegonen ina plērōthē to rēthen upo tou kuriou dia tou prophētou legontos
mat|1|23|	idou ē parthenos en gastri exei kai texetai uion, kai kalesousi to onoma autou emmanouēl, o esti methermēneuomenon meth ēmōn o theos.
mat|1|24|	diegertheis de o iōsēph apo tou upnou epoiēsen ōs prosetaxen autō o aggelos kuriou kai parelabe tēn gunaika autou,
mat|1|25|	kai ouk eginōsken autēn eōs ou eteke ton uion autēs ton prōtotokon, kai ekalese to onoma autou iēsoun.
